ds;y
2024-01-02;51.44
2024-01-03;51.42
2024-01-04;51.4
2024-01-05;51.41
2024-01-08;51.36
2024-01-09;51.35
2024-01-10;51.27
2024-01-11;51.24
2024-01-12;51.22
2024-01-15;51.21
2024-01-16;51.2
2024-01-17;51.16
2024-01-18;51.14
2024-01-19;51.06
2024-01-22;51.01
2024-01-23;50.99
2024-01-24;50.96
2024-01-25;50.94
2024-01-26;50.83
2024-01-29;50.81
2024-01-30;50.83
2024-01-31;50.82
2024-02-01;50.82
2024-02-02;50.83
2024-02-05;50.83
2024-02-06;50.81
2024-02-07;50.8
2024-02-08;50.9
2024-02-09;51.03
2024-02-12;51.07
2024-02-13;51.14
2024-02-15;51.23
2024-02-16;51.26
2024-02-19;51.32
2024-02-20;51.47
2024-02-21;51.54
2024-02-23;51.75
2024-02-26;51.77
2024-02-27;51.77
2024-02-29;51.86
2024-03-01;51.87
2024-03-04;51.83
2024-03-05;51.84
2024-03-07;51.84
2024-03-08;51.95
2024-03-11;51.96
2024-03-12;52.25
2024-03-13;52.38
2024-03-14;52.44
2024-03-15;52.58
2024-03-18;53.06
2024-03-19;53.2
2024-03-20;53.36
2024-03-21;53.57
2024-03-22;53.65
2024-03-25;53.68
2024-03-26;53.71
2024-03-27;53.82
2024-03-28;53.93
2024-03-29;54.02
2024-04-01;54.13
2024-04-02;54.17
2024-04-03;54.23
2024-04-04;54.28
2024-04-05;54.33
2024-04-08;54.45
2024-04-09;54.52
2024-04-10;54.55
2024-04-11;54.58
2024-04-12;54.62
2024-04-15;54.64
2024-04-16;54.65
2024-04-17;54.66
2024-04-18;54.53
2024-04-19;54.54
2024-04-22;54.5
2024-04-23;54.52
2024-04-24;54.51
2024-04-25;54.39
2024-04-26;54.27
2024-04-29;54.22
2024-04-30;54.16
2024-05-01;54.2
2024-05-02;54.2
2024-05-03;53.89
2024-05-06;53.87
2024-05-07;54
2024-05-08;53.88
2024-05-09;53.79
2024-05-10;53.63
2024-05-13;53.34
2024-05-14;53.24
2024-05-15;53.2
2024-05-16;53.16
2024-05-17;53
2024-05-20;52.94
2024-05-21;52.93
2024-05-22;52.85
2024-05-23;52.83
2024-05-24;52.8
2024-05-27;52.77
2024-05-28;52.76
2024-05-29;52.74
2024-05-30;52.74
2024-05-31;52.73
2024-06-03;52.69
2024-06-04;52.61
2024-06-05;52.58
2024-06-06;52.59
2024-06-07;52.57
2024-06-10;52.57
2024-06-11;52.57
2024-06-12;52.56
2024-06-13;52.61
2024-06-14;52.6
2024-06-17;52.6
2024-06-18;52.6
2024-06-19;52.59
2024-06-20;52.61
2024-06-21;52.61
2024-06-24;52.61
2024-06-25;52.66
2024-06-26;52.65
2024-06-27;52.66
2024-06-28;52.65
2024-07-01;52.66
2024-07-02;52.66
2024-07-03;52.78
2024-07-04;52.79
2024-07-05;52.8
2024-07-08;52.8
2024-07-09;52.79
2024-07-10;52.81
2024-07-11;52.82
2024-07-12;52.81
2024-07-15;52.82
2024-07-16;52.87
2024-07-17;52.86
2024-07-18;52.88
2024-07-19;52.9
2024-07-22;52.91
2024-07-23;52.91
2024-07-24;52.88
2024-07-25;52.87
2024-07-26;52.87
2024-07-29;52.88
2024-07-30;52.88
2024-07-31;52.88
2024-08-01;52.89
2024-08-02;52.89
2024-08-05;52.89
2024-08-06;52.9
2024-08-07;52.88
2024-08-08;52.89
2024-08-09;52.89
2024-08-12;52.91
2024-08-13;52.9
2024-08-14;52.89
2024-08-15;52.9
2024-08-16;52.87
2024-08-19;52.88
2024-08-20;52.87
2024-08-21;52.86
2024-08-22;52.88
2024-08-23;52.85
2024-08-26;52.84
