"ds","y"
2024-01-01,42.232
2024-01-02,41.7985
2024-01-03,41.6434
2024-01-04,41.7846
2024-01-05,41.7666
2024-01-08,41.8633
2024-01-09,41.6861
2024-01-10,41.5194
2024-01-11,41.4208
2024-01-12,41.5664
2024-01-15,41.4706
2024-01-16,41.2309
2024-01-17,41.0417
2024-01-18,40.9025
2024-01-19,40.8108
2024-01-22,40.7541
2024-01-23,40.6444
2024-01-24,40.8542
2024-01-25,40.8557
2024-01-26,41.0493
2024-01-29,40.9012
2024-01-30,40.8502
2024-01-31,40.8187
2024-02-01,40.7
2024-02-02,40.5013
2024-02-05,40.3759
2024-02-06,40.3716
2024-02-07,40.4962
2024-02-08,40.4171
2024-02-09,40.695
2024-02-12,40.8943
2024-02-13,40.9082
2024-02-14,40.7315
2024-02-15,40.8023
2024-02-16,41.0088
2024-02-19,41.2106
2024-02-20,41.7875
2024-02-21,41.7636
2024-02-22,41.5271
2024-02-23,41.4132
2024-02-26,41.6493
2024-02-27,41.4413
2024-02-28,41.3473
2024-02-29,41.2587
2024-03-01,41.2382
2024-03-04,41.6123
2024-03-05,41.6253
2024-03-06,41.6106
2024-03-07,41.5375
2024-03-08,41.8376
2024-03-11,41.923
2024-03-12,42.1075
2024-03-13,42.4962
2024-03-14,42.1425
2024-03-15,42.2384
2024-03-18,42.4336
2024-03-19,42.5216
2024-03-20,42.3312
2024-03-21,42.2688
2024-03-22,42.323
2024-03-25,42.5726
2024-03-26,42.4
2024-03-27,42.558
2024-03-28,42.2643
2024-03-29,42.0813
2024-04-01,42.2056
2024-04-02,42.3279
2024-04-03,42.2482
2024-04-04,42.3573
2024-04-05,41.9573
2024-04-08,42.2832
2024-04-09,42.3045
2024-04-10,41.9992
2024-04-11,42.167
2024-04-12,41.9866
2024-04-15,42.1146
2024-04-16,42.0535
2024-04-17,42.1715
2024-04-18,42.2032
2024-04-19,42.5719
2024-04-22,42.2342
2024-04-23,42.3571
2024-04-24,42.3201
2024-04-25,42.2943
2024-04-26,42.4826
2024-04-29,42.301
2024-04-30,42.3878
2024-05-01,42.2872
2024-05-02,42.1962
2024-05-03,42.4045
2024-05-06,42.3713
2024-05-07,42.2909
2024-05-08,42.3413
2024-05-09,42.7058
2024-05-10,42.6352
2024-05-13,42.8821
2024-05-14,42.8728
2024-05-15,42.8
2024-05-16,42.7084
2024-05-17,42.9068
2024-05-20,43.1133
2024-05-21,43.1638
2024-05-22,43.1608
2024-05-23,43.3263
2024-05-24,43.5292
2024-05-27,43.7388
2024-05-28,43.9203
2024-05-29,43.8965
2024-05-30,44.0022
2024-05-31,44.0778
2024-06-03,43.8746
2024-06-04,43.7328
2024-06-05,43.6568
2024-06-06,43.7015
2024-06-07,43.522
2024-06-10,43.5024
2024-06-11,43.4429
2024-06-12,43.9304
2024-06-13,44.0016
2024-06-14,43.3898
2024-06-17,43.5472
2024-06-18,43.606
2024-06-19,43.536
2024-06-20,43.3611
2024-06-21,43.1887
2024-06-24,43.6273
2024-06-25,43.4113
2024-06-26,43.2886
2024-06-27,43.3812
2024-06-28,43.3752
2024-07-01,43.7472
2024-07-02,43.8436
2024-07-03,43.8478
2024-07-04,43.7453
2024-07-05,43.8994
2024-07-08,44.1581
2024-07-09,44.0185
2024-07-10,44.17
2024-07-11,44.619
2024-07-12,44.551
2024-07-15,44.9084
2024-07-16,44.9646
2024-07-17,45.3681
2024-07-18,45.4336
2024-07-19,45.1673
2024-07-22,45.0012
2024-07-23,44.843
2024-07-24,44.705
2024-07-25,44.5606
2024-07-26,44.5764
2024-07-29,44.2576
2024-07-30,44.2345
2024-07-31,44.5662
2024-08-01,44.4828
2024-08-02,44.9627
2024-08-05,45.1305
2024-08-06,44.7788
2024-08-07,44.6218
2024-08-08,44.5741
2024-08-09,44.9304
2024-08-12,45.1326
2024-08-13,45.3333
2024-08-14,45.4806
2024-08-15,45.1154
2024-08-16,45.419
2024-08-19,45.7635
2024-08-20,45.8734
2024-08-21,45.9951
2024-08-22,45.7769
2024-08-23,45.8855
2024-08-26,46.1813
2024-08-27,46.1068
2024-08-28,45.7604
2024-08-29,45.5593
