ds;y
08/12/2020;103.65
08/11/2020;91.63
08/10/2020;94.57
08/07/2020;96.85
08/06/2020;99.31
08/05/2020;99.00
08/04/2020;99.13
08/03/2020;99.00
07/31/2020;95.38
07/30/2020;99.17
07/29/2020;99.94
07/28/2020;98.43
07/27/2020;102.64
07/24/2020;94.47
07/23/2020;100.87
07/22/2020;106.16
07/21/2020;104.56
07/20/2020;109.53
07/17/2020;100.06
07/16/2020;100.04
07/15/2020;103.07
07/14/2020;101.12
07/13/2020;99.80
07/10/2020;102.98
07/09/2020;92.95
07/08/2020;91.06
07/07/2020;92.66
07/06/2020;91.44
07/02/2020;80.58
07/01/2020;74.64
06/30/2020;71.99
06/29/2020;67.29
06/26/2020;63.98
06/25/2020;65.73
06/24/2020;64.06
06/23/2020;66.79
06/22/2020;66.29
06/19/2020;66.73
06/18/2020;66.93
06/17/2020;66.12
06/16/2020;65.48
06/15/2020;66.06
06/12/2020;62.35
06/11/2020;64.86
06/10/2020;68.34
06/09/2020;62.71
06/08/2020;63.33
06/05/2020;59.04
06/04/2020;57.63
06/03/2020;58.86
06/02/2020;58.77
06/01/2020;59.87
05/29/2020;55.67
05/28/2020;53.72
05/27/2020;54.68
05/26/2020;54.59
05/22/2020;54.46
05/21/2020;55.17
05/20/2020;54.37
05/19/2020;53.87
05/18/2020;54.24
05/15/2020;53.28
05/14/2020;53.56
05/13/2020;52.73
05/12/2020;53.96
05/11/2020;54.09
05/08/2020;54.63
05/07/2020;52.00
05/06/2020;52.17
05/05/2020;51.21
05/04/2020;50.75
05/01/2020;46.75
04/30/2020;52.13
04/29/2020;53.37
04/28/2020;51.27
04/27/2020;53.25
04/24/2020;48.34
04/23/2020;47.04
04/22/2020;48.81
04/21/2020;45.78
04/20/2020;49.76
04/17/2020;50.26
04/16/2020;49.68
04/15/2020;48.66
04/14/2020;47.33
04/13/2020;43.40
04/09/2020;38.20
04/08/2020;36.59
04/07/2020;36.36
04/06/2020;34.42
04/03/2020;32.00
04/02/2020;30.30
04/01/2020;32.10
03/31/2020;34.93
03/30/2020;33.48
03/27/2020;34.29
03/26/2020;35.21
03/25/2020;35.95
03/24/2020;33.67
03/23/2020;28.95
03/20/2020;28.50
03/19/2020;28.51
03/18/2020;24.08
03/17/2020;28.68
03/16/2020;29.67
03/13/2020;36.44
03/12/2020;37.37
03/11/2020;42.28
03/10/2020;43.02
03/09/2020;40.53
03/06/2020;46.90
03/05/2020;48.30
03/04/2020;49.97
03/03/2020;49.70
03/02/2020;49.57
02/28/2020;44.53
02/27/2020;45.27
02/26/2020;51.92
02/25/2020;53.33
02/24/2020;55.59
02/21/2020;60.07
02/20/2020;59.96
02/19/2020;61.16
02/18/2020;57.23
02/14/2020;53.34
02/13/2020;53.60
02/12/2020;51.15
02/11/2020;51.63
02/10/2020;51.42
02/07/2020;49.87
02/06/2020;49.93
02/05/2020;48.98
02/04/2020;59.14
02/03/2020;52.00
01/31/2020;43.37
01/30/2020;42.72
01/29/2020;38.73
01/28/2020;37.79
01/27/2020;37.20
01/24/2020;37.65
01/23/2020;38.15
01/22/2020;37.97
01/21/2020;36.48
01/17/2020;34.03
01/16/2020;34.23
01/15/2020;34.57
01/14/2020;35.86
01/13/2020;34.99
01/10/2020;31.88
01/09/2020;32.09
01/08/2020;32.81
01/07/2020;31.27
01/06/2020;30.10
01/03/2020;29.53
01/02/2020;28.68
12/31/2019;27.89
12/30/2019;27.65
12/27/2019;28.69
12/26/2019;28.73
12/24/2019;28.35
12/23/2019;27.95
12/20/2019;27.04
12/19/2019;26.94
12/18/2019;26.21
12/17/2019;25.27
12/16/2019;25.43
12/13/2019;23.89
12/12/2019;23.98
12/11/2019;23.51
12/10/2019;23.26
12/09/2019;22.64
12/06/2019;22.39
12/05/2019;22.02
12/04/2019;22.20
12/03/2019;22.41
12/02/2019;22.32
11/29/2019;22.00
11/27/2019;22.09
11/26/2019;21.93
11/25/2019;22.42
11/22/2019;22.20
11/21/2019;23.66
11/20/2019;23.48
11/19/2019;23.97
11/18/2019;23.33
11/15/2019;23.48
11/14/2019;23.29
11/13/2019;23.07
11/12/2019;23.33
11/11/2019;23.01
11/08/2019;22.48
11/07/2019;22.37
11/06/2019;21.77
11/05/2019;21.15
11/04/2019;21.16
11/01/2019;20.89
10/31/2019;20.99
10/30/2019;21.00
10/29/2019;21.08
10/28/2019;21.85
10/25/2019;21.88
10/24/2019;19.98
10/23/2019;16.98
10/22/2019;17.04
10/21/2019;16.90
10/18/2019;17.13
10/17/2019;17.46
10/16/2019;17.32
10/15/2019;17.19
10/14/2019;17.13
10/11/2019;16.53
10/10/2019;16.32
10/09/2019;16.30
10/08/2019;16.00
10/07/2019;15.85
10/04/2019;15.43
10/03/2019;15.54
10/02/2019;16.21
10/01/2019;16.31
09/30/2019;16.06
09/27/2019;16.14
09/26/2019;16.17
09/25/2019;15.25
09/24/2019;14.88
09/23/2019;16.08
09/20/2019;16.04
09/19/2019;16.44
09/18/2019;16.23
09/17/2019;16.32
09/16/2019;16.19
09/13/2019;16.35
09/12/2019;16.39
09/11/2019;16.47
09/10/2019;15.70
09/09/2019;15.45
09/06/2019;15.16
09/05/2019;15.31
09/04/2019;14.71
09/03/2019;15.00
08/30/2019;15.04
08/29/2019;14.78
08/28/2019;14.37
08/27/2019;14.27
08/26/2019;14.33
08/23/2019;14.09
08/22/2019;14.81
08/21/2019;14.72
08/20/2019;15.06
08/19/2019;15.12
08/16/2019;14.66
08/15/2019;14.38
08/14/2019;14.64
08/13/2019;15.67
08/12/2019;15.27
08/09/2019;15.67
08/08/2019;15.89
08/07/2019;15.56
08/06/2019;15.38
08/05/2019;15.22
08/02/2019;15.62
08/01/2019;15.59
07/31/2019;16.11
07/30/2019;16.15
07/29/2019;15.72
07/26/2019;15.20
07/25/2019;15.25
07/24/2019;17.66
07/23/2019;17.34
07/22/2019;17.05
07/19/2019;17.21
07/18/2019;16.90
07/17/2019;16.99
07/16/2019;16.83
07/15/2019;16.90
07/12/2019;16.34
07/11/2019;15.91
07/10/2019;15.93
07/09/2019;15.34
07/08/2019;15.36
07/05/2019;15.54
07/03/2019;15.66
07/02/2019;14.97
07/01/2019;15.14
06/28/2019;14.90
06/27/2019;14.86
06/26/2019;14.62
06/25/2019;14.65
06/24/2019;14.91
06/21/2019;14.79
06/20/2019;14.64
06/19/2019;15.10
06/18/2019;14.98
06/17/2019;15.00
06/14/2019;14.33
06/13/2019;14.26
06/12/2019;13.95
06/11/2019;14.47
06/10/2019;14.19
06/07/2019;13.63
06/06/2019;13.73
06/05/2019;13.11
06/04/2019;12.91
06/03/2019;11.93
05/31/2019;12.34
05/30/2019;12.55
05/29/2019;12.66
05/28/2019;12.58
05/24/2019;12.71
05/23/2019;13.03
05/22/2019;12.85
05/21/2019;13.67
05/20/2019;13.69
05/17/2019;14.07
05/16/2019;15.22
05/15/2019;15.46
05/14/2019;15.49
05/13/2019;15.13
05/10/2019;15.97
05/09/2019;16.13
05/08/2019;16.32
05/07/2019;16.47
05/06/2019;17.02
05/03/2019;17.00
05/02/2019;16.27
05/01/2019;15.60
04/30/2019;15.91
04/29/2019;16.10
04/26/2019;15.68
04/25/2019;16.51
04/24/2019;17.24
04/23/2019;17.59
04/22/2019;17.52
04/18/2019;18.22
04/17/2019;18.08
04/16/2019;18.22
04/15/2019;17.76
04/12/2019;17.85
04/11/2019;17.89
04/10/2019;18.40
04/09/2019;18.15
04/08/2019;18.21
04/05/2019;18.33
04/04/2019;17.85
04/03/2019;19.45
04/02/2019;19.06
04/01/2019;19.28
03/29/2019;18.66
03/28/2019;18.57
03/27/2019;18.32
03/26/2019;17.85
03/25/2019;17.36
03/22/2019;17.64
03/21/2019;18.27
03/20/2019;18.24
03/19/2019;17.83
03/18/2019;17.97
03/15/2019;18.36
03/14/2019;19.33
03/13/2019;19.26
